layer_name,input,kv_cache,tp_size,latency(ns)
q_proj,19,0,1,21681
k_proj,19,0,1,22208
v_proj,19,0,1,2144
rope,19,0,1,34193
post_layernorm,19,0,1,29584
act_fn,19,0,1,5120
final_layernorm,19,0,1,29600
lm_head,19,0,1,736
embedding,20,0,1,3392
input_layernorm,20,0,1,29583
q_proj,20,0,1,21470
k_proj,20,0,1,22352
v_proj,20,0,1,2112
rope,20,0,1,34303
post_layernorm,20,0,1,29775
act_fn,20,0,1,5327
final_layernorm,20,0,1,29439
lm_head,20,0,1,736
embedding,21,0,1,3424
input_layernorm,21,0,1,29359
q_proj,21,0,1,21712
k_proj,21,0,1,22128
v_proj,21,0,1,2192
rope,21,0,1,34270
post_layernorm,21,0,1,29502
act_fn,21,0,1,5247
final_layernorm,21,0,1,29694
lm_head,21,0,1,736
embedding,22,0,1,3424
input_layernorm,22,0,1,29390
q_proj,22,0,1,21696
k_proj,22,0,1,22031
v_proj,22,0,1,2176
rope,22,0,1,34415
post_layernorm,22,0,1,29471
act_fn,22,0,1,5359
final_layernorm,22,0,1,29760
lm_head,22,0,1,736
embedding,23,0,1,3439
input_layernorm,23,0,1,29168
q_proj,23,0,1,21727
k_proj,23,0,1,22144
v_proj,23,0,1,2127
rope,23,0,1,34224
post_layernorm,23,0,1,29614
act_fn,23,0,1,5391
final_layernorm,23,0,1,29695
lm_head,23,0,1,736
embedding,24,0,1,3424
input_layernorm,24,0,1,29023
q_proj,24,0,1,22031
k_proj,24,0,1,21903
v_proj,24,0,1,2144
rope,24,0,1,34528
post_layernorm,24,0,1,28945
act_fn,24,0,1,5439
down_proj,24,0,1,2944
final_layernorm,24,0,1,29264
lm_head,24,0,1,736
embedding,25,0,1,3711
input_layernorm,25,0,1,29533
q_proj,25,0,1,21983
k_proj,25,0,1,22289
v_proj,25,0,1,2144
rope,25,0,1,34832
post_layernorm,25,0,1,29937
act_fn,25,0,1,5536
down_proj,25,0,1,2944
final_layernorm,25,0,1,29536
lm_head,25,0,1,736
embedding,26,0,1,3839
input_layernorm,26,0,1,29694
q_proj,26,0,1,21792
k_proj,26,0,1,22561
v_proj,26,0,1,2176
rope,26,0,1,34431
post_layernorm,26,0,1,29968
act_fn,26,0,1,5712
down_proj,26,0,1,3024
final_layernorm,26,0,1,29774
lm_head,26,0,1,736
embedding,27,0,1,4256
input_layernorm,27,0,1,29184
q_proj,27,0,1,22080
k_proj,27,0,1,22383
v_proj,27,0,1,2144
rope,27,0,1,33777
post_layernorm,27,0,1,29984
act_fn,27,0,1,5664
down_proj,27,0,1,2960
final_layernorm,27,0,1,30192
lm_head,27,0,1,736
embedding,28,0,1,4192
input_layernorm,28,0,1,29168
q_proj,28,0,1,22272
k_proj,28,0,1,21984
v_proj,28,0,1,2080
rope,28,0,1,35422
post_layernorm,28,0,1,29455
act_fn,28,0,1,5776
down_proj,28,0,1,2960
final_layernorm,28,0,1,29855
lm_head,28,0,1,736
embedding,29,0,1,4128
input_layernorm,29,0,1,29648
q_proj,29,0,1,22112
k_proj,29,0,1,22383
v_proj,29,0,1,2175
rope,29,0,1,35328
post_layernorm,29,0,1,29792
act_fn,29,0,1,5824
down_proj,29,0,1,3040
final_layernorm,29,0,1,29535
lm_head,29,0,1,736
embedding,30,0,1,4176
input_layernorm,30,0,1,29582
q_proj,30,0,1,22078
k_proj,30,0,1,22303
v_proj,30,0,1,2208
rope,30,0,1,35744
post_layernorm,30,0,1,30224
act_fn,30,0,1,5952
down_proj,30,0,1,2960
final_layernorm,30,0,1,29823
lm_head,30,0,1,736
embedding,31,0,1,4352
input_layernorm,31,0,1,29584
q_proj,31,0,1,22383
k_proj,31,0,1,22111
v_proj,31,0,1,2176
rope,31,0,1,35071
post_layernorm,31,0,1,30000
act_fn,31,0,1,5952
down_proj,31,0,1,2960
final_layernorm,31,0,1,30032
lm_head,31,0,1,736
embedding,32,0,1,4368
input_layernorm,32,0,1,29233
q_proj,32,0,1,22177
k_proj,32,0,1,22047
v_proj,32,0,1,2208
rope,32,0,1,35935
post_layernorm,32,0,1,29168
act_fn,32,0,1,6096
down_proj,32,0,1,3008
final_layernorm,32,0,1,29616
lm_head,32,0,1,736
embedding,33,0,1,4192
input_layernorm,33,0,1,29328
q_proj,33,0,1,22319
k_proj,33,0,1,22784
v_proj,33,0,1,2160
rope,33,0,1,34959
post_layernorm,33,0,1,29776
act_fn,33,0,1,6096
down_proj,33,0,1,3008
final_layernorm,33,0,1,29279
lm_head,33,0,1,736
embedding,34,0,1,4368
input_layernorm,34,0,1,29248
q_proj,34,0,1,22271
k_proj,34,0,1,22848
v_proj,34,0,1,2208
rope,34,0,1,34929
post_layernorm,34,0,1,30078
act_fn,34,0,1,6287
down_proj,34,0,1,3087
final_layernorm,34,0,1,29695
lm_head,34,0,1,736
embedding,35,0,1,4319
input_layernorm,35,0,1,29198
q_proj,35,0,1,22144
k_proj,35,0,1,22785
v_proj,35,0,1,2208
rope,35,0,1,35087
post_layernorm,35,0,1,29774
act_fn,35,0,1,6255
down_proj,35,0,1,3055
final_layernorm,35,0,1,30143
lm_head,35,0,1,736
embedding,36,0,1,4352
input_layernorm,36,0,1,29102
q_proj,36,0,1,22320
k_proj,36,0,1,22143
v_proj,36,0,1,2176
rope,36,0,1,34928
post_layernorm,36,0,1,29568
act_fn,36,0,1,6304
down_proj,36,0,1,3184
final_layernorm,36,0,1,29792
lm_head,36,0,1,736
embedding,37,0,1,4496
input_layernorm,37,0,1,29217
q_proj,37,0,1,22433
k_proj,37,0,1,22735
v_proj,37,0,1,2176
rope,37,0,1,35536
post_layernorm,37,0,1,30064
act_fn,37,0,1,6384
down_proj,37,0,1,3088
final_layernorm,37,0,1,29792
lm_head,37,0,1,736
embedding,38,0,1,4336
input_layernorm,38,0,1,29615
q_proj,38,0,1,22208
k_proj,38,0,1,22911
v_proj,38,0,1,2240
rope,38,0,1,35535
post_layernorm,38,0,1,30111
act_fn,38,0,1,6512
down_proj,38,0,1,3200
final_layernorm,38,0,1,29887
lm_head,38,0,1,736
embedding,39,0,1,4352
input_layernorm,39,0,1,29233
q_proj,39,0,1,22590
k_proj,39,0,1,22463
v_proj,39,0,1,2208
rope,39,0,1,35328
post_layernorm,39,0,1,29937
act_fn,39,0,1,6591
down_proj,39,0,1,3184
final_layernorm,39,0,1,30128
lm_head,39,0,1,736
embedding,40,0,1,4400
input_layernorm,40,0,1,29056
q_proj,40,0,1,22784
k_proj,40,0,1,22240
v_proj,40,0,1,2144
rope,40,0,1,35630
post_layernorm,40,0,1,29248
act_fn,40,0,1,6592
down_proj,40,0,1,3184
final_layernorm,40,0,1,29312
lm_head,40,0,1,736
embedding,41,0,1,4272
input_layernorm,41,0,1,29501
q_proj,41,0,1,22480
k_proj,41,0,1,22335
v_proj,41,0,1,2239
rope,41,0,1,35550
post_layernorm,41,0,1,29935
act_fn,41,0,1,6593
down_proj,41,0,1,3168
final_layernorm,41,0,1,29759
lm_head,41,0,1,736
embedding,42,0,1,4224
input_layernorm,42,0,1,29615
q_proj,42,0,1,22687
k_proj,42,0,1,22624
v_proj,42,0,1,2191
rope,42,0,1,35311
post_layernorm,42,0,1,30223
act_fn,42,0,1,6656
down_proj,42,0,1,3120
final_layernorm,42,0,1,30095
lm_head,42,0,1,736
embedding,43,0,1,4208
input_layernorm,43,0,1,29503
q_proj,43,0,1,22688
k_proj,43,0,1,22657
v_proj,43,0,1,2208
rope,43,0,1,35488
post_layernorm,43,0,1,30000
act_fn,43,0,1,6816
down_proj,43,0,1,3216
final_layernorm,43,0,1,30096
lm_head,43,0,1,736
embedding,44,0,1,4240
input_layernorm,44,0,1,29328
q_proj,44,0,1,23024
k_proj,44,0,1,22335
v_proj,44,0,1,2128
rope,44,0,1,35983
post_layernorm,44,0,1,29695
act_fn,44,0,1,6833
down_proj,44,0,1,3072
final_layernorm,44,0,1,29888
lm_head,44,0,1,736
embedding,45,0,1,4240
input_layernorm,45,0,1,29616
q_proj,45,0,1,22990
k_proj,45,0,1,22544
v_proj,45,0,1,2176
rope,45,0,1,36128
post_layernorm,45,0,1,29966
act_fn,45,0,1,6944
down_proj,45,0,1,3184
final_layernorm,45,0,1,29887
lm_head,45,0,1,736
embedding,46,0,1,4479
input_layernorm,46,0,1,29857
q_proj,46,0,1,22879
k_proj,46,0,1,22545
v_proj,46,0,1,2240
rope,46,0,1,35951
post_layernorm,46,0,1,30336
act_fn,46,0,1,6976
down_proj,46,0,1,3168
final_layernorm,46,0,1,30143
lm_head,46,0,1,736
embedding,47,0,1,4543
input_layernorm,47,0,1,29759
q_proj,47,0,1,23136
k_proj,47,0,1,22399
v_proj,47,0,1,2239
rope,47,0,1,35342
post_layernorm,47,0,1,30063
act_fn,47,0,1,7056
down_proj,47,0,1,3200
final_layernorm,47,0,1,30064
lm_head,47,0,1,736
embedding,48,0,1,4480
input_layernorm,48,0,1,29486
q_proj,48,0,1,23024
k_proj,48,0,1,22447
v_proj,48,0,1,2271
rope,48,0,1,35793
post_layernorm,48,0,1,29456
act_fn,48,0,1,6768
down_proj,48,0,1,3167
final_layernorm,48,0,1,29712
lm_head,48,0,1,832
embedding,49,0,1,4640
input_layernorm,49,0,1,29872
q_proj,49,0,1,22689
k_proj,49,0,1,23102
v_proj,49,0,1,2240
rope,49,0,1,36271
post_layernorm,49,0,1,30225
act_fn,49,0,1,6848
down_proj,49,0,1,3887
final_layernorm,49,0,1,29808
lm_head,49,0,1,831
embedding,50,0,1,4720
input_layernorm,50,0,1,30208
q_proj,50,0,1,22752
k_proj,50,0,1,23120
v_proj,50,0,1,2271
rope,50,0,1,36317
post_layernorm,50,0,1,30527
act_fn,50,0,1,7024
down_proj,50,0,1,3952
final_layernorm,50,0,1,29920
lm_head,50,0,1,832
embedding,51,0,1,4640
input_layernorm,51,0,1,30336
q_proj,51,0,1,23120
k_proj,51,0,1,22847
v_proj,51,0,1,2240
rope,51,0,1,35134
post_layernorm,51,0,1,30432
act_fn,51,0,1,7040
down_proj,51,0,1,4096
final_layernorm,51,0,1,30479
lm_head,51,0,1,832
embedding,52,0,1,4592
input_layernorm,52,0,1,29952
q_proj,52,0,1,23246
k_proj,52,0,1,22560
v_proj,52,0,1,2240
rope,52,0,1,36719
post_layernorm,52,0,1,30272
act_fn,52,0,1,7088
down_proj,52,0,1,4128
final_layernorm,52,0,1,30433
lm_head,52,0,1,832
embedding,53,0,1,4928
input_layernorm,53,0,1,30160
q_proj,53,0,1,23184
k_proj,53,0,1,22752
v_proj,53,0,1,2240
rope,53,0,1,36912
post_layernorm,53,0,1,30398
act_fn,53,0,1,7120
down_proj,53,0,1,4047
final_layernorm,53,0,1,30142
lm_head,53,0,1,832
embedding,54,0,1,4896
input_layernorm,54,0,1,30304
q_proj,54,0,1,23039
k_proj,54,0,1,22720
v_proj,54,0,1,2240
rope,54,0,1,36367
post_layernorm,54,0,1,30574
act_fn,54,0,1,7232
down_proj,54,0,1,4079
final_layernorm,54,0,1,30431
lm_head,54,0,1,832
embedding,55,0,1,4864
input_layernorm,55,0,1,30032
q_proj,55,0,1,23375
k_proj,55,0,1,22687
v_proj,55,0,1,2336
rope,55,0,1,36831
post_layernorm,55,0,1,30432
act_fn,55,0,1,7391
down_proj,55,0,1,4207
final_layernorm,55,0,1,30416
lm_head,55,0,1,832
embedding,56,0,1,4896
input_layernorm,56,0,1,29728
q_proj,56,0,1,23487
k_proj,56,0,1,22608
v_proj,56,0,1,2240
rope,56,0,1,37056
post_layernorm,56,0,1,29776
act_fn,56,0,1,7264
down_proj,56,0,1,4160
final_layernorm,56,0,1,29968
lm_head,56,0,1,816
embedding,57,0,1,4975
input_layernorm,57,0,1,29823
q_proj,57,0,1,23296
k_proj,57,0,1,22735
v_proj,57,0,1,2256
rope,57,0,1,36863
post_layernorm,57,0,1,30128
act_fn,57,0,1,7296
down_proj,57,0,1,4032
final_layernorm,57,0,1,29985
lm_head,57,0,1,832
embedding,58,0,1,5072
input_layernorm,58,0,1,30002
q_proj,58,0,1,23343
k_proj,58,0,1,23087
v_proj,58,0,1,2271
rope,58,0,1,36751
post_layernorm,58,0,1,30512
act_fn,58,0,1,7471
down_proj,58,0,1,4064
final_layernorm,58,0,1,30383
lm_head,58,0,1,832
embedding,59,0,1,5376
input_layernorm,59,0,1,30000
q_proj,59,0,1,23680
k_proj,59,0,1,22925
v_proj,59,0,1,2271
rope,59,0,1,37584
post_layernorm,59,0,1,30480
act_fn,59,0,1,7488
down_proj,59,0,1,4128
final_layernorm,59,0,1,30831
lm_head,59,0,1,832
embedding,60,0,1,5248
input_layernorm,60,0,1,29616
q_proj,60,0,1,23711
k_proj,60,0,1,22816
v_proj,60,0,1,2241
rope,60,0,1,37904
post_layernorm,60,0,1,30384
act_fn,60,0,1,7570
down_proj,60,0,1,4272
final_layernorm,60,0,1,30526
lm_head,60,0,1,832
embedding,61,0,1,5104
input_layernorm,61,0,1,30015
q_proj,61,0,1,23888
k_proj,61,0,1,23136
v_proj,61,0,1,2271
rope,61,0,1,37760
post_layernorm,61,0,1,30448
act_fn,61,0,1,7583
down_proj,61,0,1,4175
final_layernorm,61,0,1,30432
lm_head,61,0,1,832
embedding,62,0,1,5280
input_layernorm,62,0,1,30239
q_proj,62,0,1,23599
k_proj,62,0,1,23024
v_proj,62,0,1,2271
rope,62,0,1,37792
post_layernorm,62,0,1,31103
act_fn,62,0,1,7728
down_proj,62,0,1,4096
final_layernorm,62,0,1,30751
lm_head,62,0,1,832
embedding,63,0,1,5072
input_layernorm,63,0,1,30111
q_proj,63,0,1,24142
k_proj,63,0,1,22911
v_proj,63,0,1,2336
rope,63,0,1,37952
post_layernorm,63,0,1,30769
act_fn,63,0,1,7856
down_proj,63,0,1,4287
final_layernorm,63,0,1,30896
lm_head,63,0,1,832
embedding,64,0,1,5391
input_layernorm,64,0,1,30001
q_proj,64,0,1,23839
k_proj,64,0,1,22624
v_proj,64,0,1,2305
rope,64,0,1,38207
post_layernorm,64,0,1,29903
act_fn,64,0,1,7697
down_proj,64,0,1,4239
final_layernorm,64,0,1,30205
lm_head,64,0,1,832
embedding,65,0,1,5344
input_layernorm,65,0,1,30191
q_proj,65,0,1,23823
k_proj,65,0,1,23087
v_proj,65,0,1,2336
rope,65,0,1,37584
post_layernorm,65,0,1,30946
act_fn,65,0,1,7744
down_proj,65,0,1,4096
final_layernorm,65,0,1,30494
lm_head,65,0,1,832
embedding,66,0,1,5232
input_layernorm,66,0,1,30480
q_proj,66,0,1,23743
k_proj,66,0,1,23359
v_proj,66,0,1,2303
rope,66,0,1,37648
post_layernorm,66,0,1,31151
act_fn,66,0,1,7935
down_proj,66,0,1,4160
final_layernorm,66,0,1,30847
lm_head,66,0,1,832
embedding,67,0,1,5247
input_layernorm,67,0,1,30334
q_proj,67,0,1,23776
k_proj,67,0,1,23183
v_proj,67,0,1,2336
rope,67,0,1,38096
post_layernorm,67,0,1,30784
act_fn,67,0,1,8000
down_proj,67,0,1,4191
final_layernorm,67,0,1,30895
lm_head,67,0,1,832
embedding,68,0,1,5344
input_layernorm,68,0,1,30191
q_proj,68,0,1,24000
k_proj,68,0,1,22881
v_proj,68,0,1,2336
rope,68,0,1,38400
post_layernorm,68,0,1,30640
act_fn,68,0,1,7904
down_proj,68,0,1,4208
final_layernorm,68,0,1,30911
lm_head,68,0,1,832
embedding,69,0,1,5392
input_layernorm,69,0,1,30223
q_proj,69,0,1,24095
k_proj,69,0,1,22880
v_proj,69,0,1,2336
rope,69,0,1,37889
post_layernorm,69,0,1,30704
act_fn,69,0,1,8032
down_proj,69,0,1,4352
final_layernorm,69,0,1,30495
lm_head,69,0,1,832
embedding,70,0,1,5312
input_layernorm,70,0,1,30671
q_proj,70,0,1,23919
k_proj,70,0,1,23103
v_proj,70,0,1,2336
rope,70,0,1,38367
post_layernorm,70,0,1,30927
act_fn,70,0,1,8224
down_proj,70,0,1,4288
final_layernorm,70,0,1,30816
lm_head,70,0,1,832
embedding,71,0,1,5408
input_layernorm,71,0,1,30479
q_proj,71,0,1,24127
k_proj,71,0,1,22992
v_proj,71,0,1,2335
rope,71,0,1,38256
post_layernorm,71,0,1,30656
act_fn,71,0,1,8271
down_proj,71,0,1,4240
final_layernorm,71,0,1,30880
lm_head,71,0,1,832
embedding,72,0,1,5424
input_layernorm,72,0,1,30241
q_proj,72,0,1,24784
k_proj,72,0,1,22943
v_proj,72,0,1,2368
rope,72,0,1,38512
post_layernorm,72,0,1,30175
act_fn,72,0,1,8128
down_proj,72,0,1,4240
final_layernorm,72,0,1,30478
lm_head,72,0,1,832
embedding,73,0,1,5456
input_layernorm,73,0,1,30479
q_proj,73,0,1,24416
k_proj,73,0,1,23040
v_proj,73,0,1,2336
rope,73,0,1,38255
post_layernorm,73,0,1,30943
act_fn,73,0,1,8209
down_proj,73,0,1,4448
final_layernorm,73,0,1,30720
lm_head,73,0,1,832
embedding,74,0,1,5472
input_layernorm,74,0,1,30721
q_proj,74,0,1,24368
k_proj,74,0,1,23488
v_proj,74,0,1,2399
rope,74,0,1,38160
post_layernorm,74,0,1,31231
act_fn,74,0,1,8417
down_proj,74,0,1,4400
final_layernorm,74,0,1,30737
lm_head,74,0,1,832
embedding,75,0,1,5456
input_layernorm,75,0,1,30721
q_proj,75,0,1,24641
k_proj,75,0,1,23184
v_proj,75,0,1,2368
rope,75,0,1,37920
post_layernorm,75,0,1,30848
act_fn,75,0,1,8479
down_proj,75,0,1,4496
final_layernorm,75,0,1,31039
lm_head,75,0,1,832
embedding,76,0,1,5648
input_layernorm,76,0,1,30287
q_proj,76,0,1,24929
k_proj,76,0,1,22992
v_proj,76,0,1,2352
rope,76,0,1,38319
post_layernorm,76,0,1,30671
act_fn,76,0,1,8497
down_proj,76,0,1,4543
final_layernorm,76,0,1,30817
lm_head,76,0,1,832
embedding,77,0,1,5503
input_layernorm,77,0,1,30703
q_proj,77,0,1,24655
k_proj,77,0,1,23089
v_proj,77,0,1,2368
rope,77,0,1,38574
post_layernorm,77,0,1,31296
act_fn,77,0,1,8496
down_proj,77,0,1,4416
final_layernorm,77,0,1,30928
lm_head,77,0,1,832
embedding,78,0,1,5632
input_layernorm,78,0,1,30942
q_proj,78,0,1,24829
k_proj,78,0,1,23376
v_proj,78,0,1,2400
rope,78,0,1,38609
post_layernorm,78,0,1,31407
act_fn,78,0,1,8736
down_proj,78,0,1,4464
final_layernorm,78,0,1,31136
lm_head,78,0,1,832
embedding,79,0,1,5712
input_layernorm,79,0,1,30673
q_proj,79,0,1,25023
k_proj,79,0,1,22990
v_proj,79,0,1,2400
rope,79,0,1,38239
post_layernorm,79,0,1,31025
act_fn,79,0,1,8704
down_proj,79,0,1,4416
final_layernorm,79,0,1,31247
lm_head,79,0,1,832
embedding,80,0,1,5696
input_layernorm,80,0,1,30543
q_proj,80,0,1,24495
k_proj,80,0,1,20657
rope,80,0,1,39247
post_layernorm,80,0,1,30782
act_fn,80,0,1,8736
down_proj,80,0,1,4496
final_layernorm,80,0,1,30752
lm_head,80,0,1,832
embedding,81,0,1,5664
input_layernorm,81,0,1,30990
q_proj,81,0,1,24527
k_proj,81,0,1,20656
rope,81,0,1,38431
post_layernorm,81,0,1,31486
act_fn,81,0,1,8768
down_proj,81,0,1,4368
final_layernorm,81,0,1,31599
lm_head,81,0,1,832
embedding,82,0,1,5696
input_layernorm,82,0,1,30910
q_proj,82,0,1,24799
k_proj,82,0,1,20751
rope,82,0,1,38577
post_layernorm,82,0,1,31423
act_fn,82,0,1,8847
down_proj,82,0,1,4432
final_layernorm,82,0,1,31392
lm_head,82,0,1,832
embedding,83,0,1,6000
input_layernorm,83,0,1,30865
q_proj,83,0,1,24689
k_proj,83,0,1,20573
rope,83,0,1,38992
post_layernorm,83,0,1,31167
act_fn,83,0,1,8896
down_proj,83,0,1,4447
final_layernorm,83,0,1,31216
lm_head,83,0,1,832
embedding,84,0,1,5776
input_layernorm,84,0,1,31039
q_proj,84,0,1,24814
k_proj,84,0,1,20753
rope,84,0,1,39182
post_layernorm,84,0,1,31312
act_fn,84,0,1,8896
down_proj,84,0,1,4496
final_layernorm,84,0,1,31280
lm_head,84,0,1,832
embedding,85,0,1,5984
input_layernorm,85,0,1,31136
q_proj,85,0,1,24896
k_proj,85,0,1,20623
rope,85,0,1,39646
post_layernorm,85,0,1,31343
act_fn,85,0,1,8993
down_proj,85,0,1,4416
final_layernorm,85,0,1,31360
lm_head,85,0,1,831
embedding,86,0,1,5983
input_layernorm,86,0,1,31168
q_proj,86,0,1,25231
k_proj,86,0,1,20608
rope,86,0,1,39438
post_layernorm,86,0,1,31297
act_fn,86,0,1,9055
down_proj,86,0,1,4464
final_layernorm,86,0,1,31503
lm_head,86,0,1,832
embedding,87,0,1,5903
input_layernorm,87,0,1,30976
q_proj,87,0,1,25119
k_proj,87,0,1,20623
rope,87,0,1,39313
post_layernorm,87,0,1,31261
act_fn,87,0,1,8912
down_proj,87,0,1,4480
final_layernorm,87,0,1,31102
lm_head,87,0,1,736
embedding,88,0,1,6032
input_layernorm,88,0,1,30913
q_proj,88,0,1,25279
k_proj,88,0,1,20608
rope,88,0,1,39777
post_layernorm,88,0,1,30927
act_fn,88,0,1,9056
down_proj,88,0,1,4464
final_layernorm,88,0,1,30911
lm_head,88,0,1,768
embedding,89,0,1,6032
input_layernorm,89,0,1,31122
q_proj,89,0,1,25407
k_proj,89,0,1,20704
rope,89,0,1,39742
post_layernorm,89,0,1,31200
act_fn,89,0,1,9072
down_proj,89,0,1,4512
final_layernorm,89,0,1,31199
lm_head,89,0,1,736
embedding,90,0,1,6111
input_layernorm,90,0,1,31087
q_proj,90,0,1,25518
k_proj,90,0,1,20576
rope,90,0,1,39776
post_layernorm,90,0,1,31423
act_fn,90,0,1,9152
down_proj,90,0,1,4575
final_layernorm,90,0,1,31280
lm_head,90,0,1,799
embedding,91,0,1,6032
input_layernorm,91,0,1,31055
q_proj,91,0,1,25631
k_proj,91,0,1,20624
rope,91,0,1,40143
post_layernorm,91,0,1,31630
act_fn,91,0,1,9169
down_proj,91,0,1,4527
final_layernorm,91,0,1,31600
lm_head,91,0,1,752
embedding,92,0,1,6176
input_layernorm,92,0,1,31135
q_proj,92,0,1,25903
k_proj,92,0,1,20671
rope,92,0,1,40415
post_layernorm,92,0,1,31280
act_fn,92,0,1,9327
down_proj,92,0,1,4528
final_layernorm,92,0,1,31391
lm_head,92,0,1,736
embedding,93,0,1,6016
input_layernorm,93,0,1,31312
q_proj,93,0,1,25727
k_proj,93,0,1,20608
rope,93,0,1,40286
post_layernorm,93,0,1,31488
act_fn,93,0,1,9312
